br-data-accession,br-data-model-protein-accession,br-data-product-name,br-data-family-type,br-data-gene-symbol,br-data-ec-number,br-data-go-terms,br-data-complete_ident,br-data-complete-wp-coverage,br-data-complete-br-coverage,br-data-hits-number,br-data-date
NBR002018,WP_012881221.1,IS5-like element ISRm33 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,13,2023-10-03
NBR002019,WP_011983039.1,IS5-like element ISOcan1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,7,2023-10-03
NBR002020,WP_012650068.1,IS5-like element ISAra1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002021,WP_011797795.1,IS5-like element ISPna4 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002022,WP_012428221.1,IS5-like element ISBuph1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002023,WP_013683003.1,IS5-like element ISArve1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002024,WP_076611740.1,IS5-like element ISDeth1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,16,2023-10-03
NBR002025,WP_012177568.1,IS5-like element ISDsh4 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,2,2023-10-03
NBR002026,WP_060835708.1,IS5-like element ISRsu1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2023-10-03
NBR002027,WP_011151599.1,IS5-like element ISVvu5 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,2,2023-10-03
NBR002028,WP_076611743.1,IS5-like element ISV-M52 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002029,WP_001913678.1,IS5-like element ISVch8 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,69,2023-10-03
NBR002030,WP_076611744.1,IS5-like element ISVpa3 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,273,2023-10-03
NBR002031,WP_076611745.1,IS5-like element ISVal1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,28,2023-10-03
NBR002032,WP_076611746.1,IS5-like element ISVa2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,49,2023-10-03
NBR002033,WP_008216465.1,IS5-like element ISVba2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,9,2023-10-03
NBR002034,WP_004663854.1,IS5-like element ISPsy19 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,59,2023-10-03
NBR002035,WP_009546165.1,IS5-like element ISCysp18 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002036,WP_076611762.1,IS5-like element ISPa67 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002037,WP_011071076.1,IS5-like element ISSod6 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,72,2023-10-03
NBR002038,WP_011789342.1,IS5-like element ISSpu10 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,10,2023-10-03
NBR002039,WP_005262957.1,IS5-like element ISAba31 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,332,2023-10-03
NBR002040,WP_004216228.1,IS5-like element ISNma1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002041,WP_012945667.1,IS5-like element ISHtu1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002042,WP_012160730.1,IS5-like element ISAcma5 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,2,2023-10-03
NBR002043,WP_041359162.1,IS5-like element ISMdi26 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002044,WP_011029009.1,IS5-like element IS470 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,3,2023-10-03
NBR002045,WP_012890904.1,IS5-like element ISStro1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002046,WP_011133510.1,IS5-like element ISRer2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,2,2023-10-03
NBR002047,WP_038464622.1,IS5-like element ISParac1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002048,WP_032492267.1,IS5-like element ISAzba3 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2023-10-03
NBR002049,WP_086558298.1,IS5-like element ISCaa9 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2023-10-03
NBR002050,WP_004043378.1,IS5-like element ISHvo2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002051,WP_011879774.1,IS5-like element ISBvi5 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,6,2023-10-03
NBR002052,WP_076612391.1,IS5-like element ISCca7 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,3,2023-10-03
NBR002053,WP_076611799.1,IS5-like element ISPa51 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002054,WP_076611802.1,IS5-like element ISPa9 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002055,WP_015408669.1,IS5-like element ISNamo2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002056,WP_007975311.1,IS5-like element ISXfu2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,19,2023-10-03
NBR002057,WP_086558347.1,IS5-like element IS1646 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,120,2023-10-03
NBR002058,WP_011258802.1,IS5-like element ISXo1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,425,2023-10-03
NBR002059,WP_048909999.1,IS5-like element ISPa54 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002060,WP_022557821.1,IS5-like element ISXfu1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,29,2023-10-03
NBR002061,WP_011257128.1,IS5-like element ISXoo7 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,46,2023-10-03
NBR002062,WP_011368646.1,IS5-like element ISDde1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002063,WP_012471683.1,IS5-like element ISGlo4 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002064,WP_015764803.1,IS5-like element ISLrh2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,90,92,2023-10-03
NBR002065,WP_076612378.1,IS5-like element ISArch22 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2023-10-03
NBR002066,WP_007182917.1,IS5-like element ISBmu23 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,12,2023-10-03
NBR002067,WP_012996418.1,IS5-like element ISNma2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,3,2023-10-03
NBR002068,WP_015803302.1,IS5-like element ISAmi1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002069,WP_012547704.1,IS5-like element ISDith1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002070,WP_076611817.1,IS5-like element ISXo3 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2023-10-03
NBR002071,WP_043387407.1,IS5-like element ISAav2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,20,2023-10-03
NBR002072,WP_012405348.1,IS5-like element ISBph2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,7,2023-10-03
NBR002073,WP_011488753.1,IS5-like element ISBxe5 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002074,WP_076611820.1,IS5-like element ISPa8 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,14,2023-10-03
NBR002075,WP_011295755.1,IS5-like element ISRme16 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,2,2023-10-03
NBR002076,WP_076611821.1,IS5-like element ISBuce2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002077,WP_011515952.1,IS5-like element ISRme1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,9,2023-10-03
NBR002078,WP_011365646.1,IS5-like element ISGme1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,2,2023-10-03
NBR002079,WP_004867878.1,IS5-like element ISAtc5 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,7,2023-10-03
NBR002080,WP_011542453.1,IS5-like element ISSpal2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,3,2023-10-03
NBR002081,WP_011813231.1,IS5-like element ISHha2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002082,WP_010941225.1,IS5-like element ISGsu2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,2,2023-10-03
NBR002083,WP_015887803.1,IS5-like element ISRsp5 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,3,2023-10-03
NBR002084,WP_009797950.1,IS5-like element ISNisp7 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,2,2023-10-03
NBR002085,WP_007681401.1,IS5-like element ISApr12 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2023-10-03
NBR002086,WP_011509784.1,IS5-like element ISNha8 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2023-10-03
NBR002087,WP_011913346.1,IS5-like element ISPst12 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,21,2023-10-03
NBR002088,WP_010943399.1,IS5-like element ISGsu3 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,3,2023-10-03
NBR002089,WP_076611824.1,IS5-like element ISBusp2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2023-10-03
NBR002090,WP_076611825.1,IS5-like element ISAav3 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002091,WP_034400331.1,IS5-like element ISCte5 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,7,2023-10-03
NBR002092,WP_012655322.1,IS5-like element ISDisp1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,7,2023-10-03
NBR002093,WP_011237243.1,IS5-like element ISAzo31 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002094,WP_043766426.1,IS5-like element ISMex35 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002095,WP_007100924.1,IS5-like element ISSysp5 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002096,WP_076611827.1,IS5-like element ISMex28 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2023-10-03
NBR002097,WP_006983667.1,IS5-like element ISCfl1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,2,2023-10-03
NBR002098,WP_011733816.1,IS5-like element ISPepr6 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002099,WP_012973766.1,IS5-like element ISAzs10 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,3,2023-10-03
NBR002100,WP_011509106.1,IS5-like element ISNha7 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002101,WP_012043985.1,IS5-like element ISBrsp7 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,5,2023-10-03
NBR002102,WP_012606273.1,IS5-like element ISMch8 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002103,WP_052642793.1,IS5-like element ISRsp13 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002104,WP_007796328.1,IS5-like element ISRssp11 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2025-02-13
NBR002105,WP_036744399.1,IS5-like element ISPha2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,6,2023-10-03
NBR002106,WP_008281741.1,IS5-like element ISRssp10 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,2,2023-10-03
NBR002107,WP_011908460.1,IS5-like element ISRhsp7 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002108,WP_012468104.1,IS5-like element ISGlo5 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002109,WP_086557926.1,IS5-like element ISCARN71 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2023-10-03
NBR002110,WP_010959422.1,IS5-like element ISMca1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002111,WP_012402562.1,IS5-like element ISBph3 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002112,WP_003978807.1,IS5-like element IS4811 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,5,2023-10-03
NBR002113,WP_076611834.1,IS5-like element ISAba15 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002114,WP_076611835.1,IS5-like element ISBhu1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,3,2023-10-03
NBR002115,WP_011798082.1,IS5-like element ISPna5 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002116,WP_038707665.1,IS5-like element ISButh7 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002117,WP_012354468.1,IS5-like element ISRta5 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,6,2023-10-03
NBR002118,WP_004544955.1,IS5-like element ISBps3 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,2,2023-10-03
NBR002119,WP_012673051.1,IS5-like element ISWpi1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,74,2023-10-03
NBR002120,WP_076611838.1,IS5-like element ISAba37 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,5,2023-10-03
NBR002121,WP_086558300.1,IS5-like element ISAzo36 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2023-10-03
NBR002122,WP_012459499.1,IS5-like element ISSulsp1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002123,WP_086557936.1,IS5-like element IS1480b family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,21,2023-10-03
NBR002124,WP_086896508.1,IS5-like element IS1480a family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2023-10-03
NBR002125,WP_011084757.1,IS5-like element ISBj5_B family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,16,2023-10-03
NBR002126,WP_011084639.1,IS5-like element ISBj2_B family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,21,2023-10-03
NBR002127,WP_015896346.1,IS5-like element ISAcp1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002128,WP_076611859.1,IS5-like element ISRm12 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,4,2023-10-03
NBR002129,WP_008630619.1,IS5-like element ISTth7 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,33,2023-10-03
NBR002130,WP_076611862.1,IS5-like element ISAzo37 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2023-10-03
NBR002131,WP_086557938.1,IS5-like element ISCARN74 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2023-10-03
NBR002132,WP_086558189.1,IS5-like element ISCARN76 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2023-10-03
NBR002133,WP_006762777.1,IS5-like element ISBam3 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002134,WP_076611868.1,IS5-like element ISMra2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,3,2023-10-03
NBR002135,WP_076611876.1,IS5-like element ISNieu4 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2023-10-03
NBR002136,WP_076611877.1,IS5-like element ISAli12B family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2023-10-03
NBR002137,WP_076611878.1,IS5-like element ISAli12A family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2023-10-03
NBR002138,WP_076611879.1,IS5-like element ISCaa13 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002139,WP_015298633.1,IS5-like element ISNpe14 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,2,2023-10-03
NBR002140,WP_076611885.1,IS5-like element ISTel4 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,2,2023-10-03
NBR002141,WP_041183487.1,IS5-like element ISXo4 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,118,2023-10-03
NBR002142,WP_011257172.1,IS5-like element ISXo9 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,2,2023-10-03
NBR002143,WP_011407283.1,IS5-like element ISXoo4 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,3,2023-10-03
NBR002144,WP_011347842.1,IS5-like element ISXca5 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,26,2023-10-03
NBR002145,WP_076611889.1,IS5-like element ISApr13 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2023-10-03
NBR002146,WP_011525852.1,IS5-like element ISDge6 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,2,2023-10-03
NBR002147,WP_165447225.1,IS5-like element ISRba8 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002148,WP_076611894.1,IS5-like element ISAba27 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,63,2023-10-03
NBR002149,WP_002772154.1,IS5-like element ISLil3 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,3,2023-10-03
NBR002150,WP_076611899.1,IS5-like element ISJp4 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,3,2023-10-03
NBR002151,WP_015927380.1,IS5-like element ISMno12 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR002152,WP_076611905.1,IS5-like element ISPso2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,22,2023-10-03
NBR002153,WP_086000139.1,IS5-like element IS1248A family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,6,2023-10-03
